
                                              MFCS/win                    Report printed:                2024-11-03 12:55:27
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                Biostat22_oscillate                 Batch created:            2024-10-30 16:47:12

 Experiment Start:          2024-10-30 16:47:12                 Experiment Stop:          2024-11-03 12:10:38

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                  AFOAMT
                                                        ml
  Data
                                                      Value


 Date    /  Time                Age

30-10-2024 16:47:13             0.000                   8

30-10-2024 16:56:28             0.154                   8
30-10-2024 16:56:43             0.159                   0
30-10-2024 16:57:13             0.167                   2

30-10-2024 16:57:28             0.171                   5
30-10-2024 17:17:13             0.500                   5
30-10-2024 17:47:13             1.000                   5

30-10-2024 18:17:13             1.500                   5
30-10-2024 18:47:13             2.000                   5

30-10-2024 19:17:13             2.500                   5
30-10-2024 19:47:13             3.000                   5
30-10-2024 20:17:13             3.500                   5

30-10-2024 20:47:13             4.000                   5
30-10-2024 21:17:13             4.500                   5

30-10-2024 21:47:13             5.000                   5
30-10-2024 22:17:13             5.500                   5
30-10-2024 22:47:13             6.000                   5

30-10-2024 23:17:13             6.500                   5
30-10-2024 23:47:13             7.000                   5

31-10-2024 00:17:13             7.500                   5
31-10-2024 00:47:13             8.000                   5
31-10-2024 01:17:13             8.500                   5

31-10-2024 01:47:13             9.000                   5
31-10-2024 02:17:13             9.500                   5
31-10-2024 02:47:13            10.000                   5

31-10-2024 03:17:13            10.500                   5
31-10-2024 03:47:13            11.000                   5

31-10-2024 04:17:13            11.500                   5
31-10-2024 04:47:13            12.000                   5
31-10-2024 05:17:13            12.500                   5

31-10-2024 05:47:13            13.000                   5
31-10-2024 06:17:13            13.500                   5

31-10-2024 06:47:13            14.000                   5
31-10-2024 07:17:13            14.500                   5
31-10-2024 07:47:13            15.000                   5

31-10-2024 08:17:13            15.500                   5


31-10-2024 08:47:13            16.000                   5
31-10-2024 09:17:13            16.500                   7

31-10-2024 09:47:13            17.000                   7
31-10-2024 10:17:13            17.500                   7
31-10-2024 10:47:13            18.000                   7

31-10-2024 11:17:13            18.500                   7
31-10-2024 11:47:13            19.000                   7

31-10-2024 12:17:13            19.500                   7
31-10-2024 12:47:13            20.000                   7
31-10-2024 13:17:13            20.500                   7

31-10-2024 13:47:13            21.000                   7
31-10-2024 14:17:13            21.500                   7

31-10-2024 14:47:13            22.000                   7
31-10-2024 15:17:13            22.500                   7
31-10-2024 15:47:13            23.000                   7

31-10-2024 16:17:13            23.500                   7
31-10-2024 16:47:13            24.000                   7
31-10-2024 17:17:13            24.500                   7

31-10-2024 17:47:13            25.000                   7
31-10-2024 18:17:13            25.500                   7

31-10-2024 18:47:13            26.000                   8
31-10-2024 19:17:13            26.500                   8
31-10-2024 19:47:13            27.000                   8

31-10-2024 20:17:13            27.500                   8
31-10-2024 20:47:13            28.000                   8

31-10-2024 21:17:13            28.500                   8
31-10-2024 21:47:13            29.000                   8
31-10-2024 22:17:13            29.500                   8

31-10-2024 22:47:13            30.000                   8
31-10-2024 23:17:13            30.500                   8

31-10-2024 23:47:13            31.000                   8
01-11-2024 00:17:13            31.500                   8
01-11-2024 00:47:13            32.000                   8

01-11-2024 01:17:13            32.500                   8
01-11-2024 01:47:13            33.000                   8
01-11-2024 02:17:13            33.500                   8

01-11-2024 02:47:13            34.000                   8
01-11-2024 03:17:13            34.500                   8

01-11-2024 03:47:13            35.000                   8
