
                                              MFCS/win                    Report printed:                2024-12-10 09:25:59
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                BIOSTAT27_BDCU_2                    Batch created:            2024-12-03 14:40:45

 Experiment Start:          2024-12-03 14:40:45                 Experiment Stop:          2024-12-06 13:42:12

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                  AFOAMT
                                                        ml
  Data
                                                      Value


 Date    /  Time                Age

03-12-2024 14:40:46             0.000                   0

03-12-2024 15:10:46             0.500                   0
03-12-2024 15:40:46             1.000                   0
03-12-2024 16:10:46             1.500                   0

03-12-2024 16:40:46             2.000                   0
03-12-2024 17:10:46             2.500                   0
03-12-2024 17:26:20             2.760                   0

03-12-2024 17:26:35             2.764                   4
03-12-2024 17:26:50             2.768                   9

03-12-2024 17:27:05             2.772                   9
03-12-2024 17:27:20             2.776                   2
03-12-2024 17:27:35             2.781                   4

03-12-2024 17:40:46             3.000                   4
03-12-2024 18:10:46             3.500                   4

03-12-2024 18:40:46             4.000                   4
03-12-2024 19:10:46             4.500                   4
03-12-2024 19:40:46             5.000                   4

03-12-2024 20:10:46             5.500                   4
03-12-2024 20:40:46             6.000                   4

03-12-2024 21:10:46             6.500                   4
03-12-2024 21:40:46             7.000                   4
03-12-2024 22:10:46             7.500                   4

03-12-2024 22:40:46             8.000                   4
03-12-2024 23:10:46             8.500                   4
03-12-2024 23:40:46             9.000                   4

04-12-2024 00:10:46             9.500                   4
04-12-2024 00:40:46            10.000                   4

04-12-2024 01:10:47            10.501                   4
04-12-2024 01:40:47            11.001                   4
04-12-2024 02:10:47            11.501                   4

04-12-2024 02:40:47            12.001                   4
04-12-2024 03:10:47            12.501                   4

04-12-2024 03:40:47            13.001                   4
04-12-2024 04:10:47            13.501                   4
04-12-2024 04:40:47            14.001                   4

04-12-2024 05:10:47            14.501                   4


04-12-2024 05:40:47            15.001                   4
04-12-2024 06:10:47            15.501                   4

04-12-2024 06:40:47            16.001                   4
04-12-2024 07:10:47            16.501                   4
04-12-2024 07:40:47            17.001                   4

04-12-2024 08:10:47            17.501                   4
04-12-2024 08:40:47            18.001                   4

04-12-2024 09:10:47            18.501                   4
04-12-2024 09:40:47            19.001                   4
04-12-2024 10:10:47            19.501                   4

04-12-2024 10:40:47            20.001                   4
04-12-2024 11:10:47            20.501                   4

04-12-2024 11:40:47            21.001                   4
04-12-2024 12:10:47            21.501                   4
04-12-2024 12:40:47            22.001                   4

04-12-2024 13:10:47            22.501                   4
04-12-2024 13:40:47            23.001                   4
04-12-2024 14:10:47            23.501                   4

04-12-2024 14:40:47            24.001                   4
04-12-2024 15:10:47            24.501                   4

04-12-2024 15:40:47            25.001                   4
04-12-2024 16:10:47            25.501                   4
04-12-2024 16:40:47            26.001                   4

04-12-2024 17:10:47            26.501                   4
04-12-2024 17:19:39            26.648                   4

04-12-2024 17:19:54            26.653                   6
04-12-2024 17:20:54            26.669                   6
04-12-2024 17:21:09            26.673                   8

04-12-2024 17:40:47            27.001                   8
04-12-2024 18:10:47            27.501                   8

04-12-2024 18:40:47            28.001                   8
04-12-2024 19:10:47            28.501                   8
