
                                              MFCS/win                    Report printed:                2025-02-06 12:53:18
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                Biostat2L_31_control                Batch created:            2025-01-21 09:50:50

 Experiment Start:          2025-01-21 09:50:50                 Experiment Stop:          2025-01-24 08:54:29

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                 AIRSP_A
                                                       lpm
  Data
                                                     Setpoint


 Date    /  Time                Age

21-01-2025 09:50:51             0.000                 1.000

21-01-2025 09:51:51             0.017                 1.000
21-01-2025 09:52:06             0.021                  .375
21-01-2025 10:20:51             0.500                  .375

21-01-2025 10:50:51             1.000                  .375
21-01-2025 11:20:51             1.500                  .375
21-01-2025 11:50:51             2.000                  .375

21-01-2025 12:20:51             2.500                  .375
21-01-2025 12:50:51             3.000                  .375

21-01-2025 13:20:51             3.500                  .375
21-01-2025 13:50:51             4.000                  .388
21-01-2025 14:20:51             4.500                  .390

21-01-2025 14:50:51             5.000                  .379
21-01-2025 15:20:51             5.500                  .388

21-01-2025 15:50:51             6.000                  .397
21-01-2025 16:20:51             6.500                  .410
21-01-2025 16:50:51             7.000                  .406

21-01-2025 17:20:51             7.500                  .416
21-01-2025 17:50:51             8.000                  .430

21-01-2025 18:20:51             8.500                  .442
21-01-2025 18:50:51             9.000                  .454
21-01-2025 19:20:51             9.500                  .467

21-01-2025 19:50:51            10.000                  .474
21-01-2025 20:20:51            10.500                  .482
21-01-2025 20:50:51            11.000                  .494

21-01-2025 21:20:51            11.500                  .509
21-01-2025 21:50:51            12.000                  .524

21-01-2025 22:20:51            12.500                  .546
21-01-2025 22:50:51            13.000                  .562
21-01-2025 23:20:51            13.500                  .575

21-01-2025 23:50:51            14.000                  .590
22-01-2025 00:20:51            14.500                  .599

22-01-2025 00:50:51            15.000                  .603
22-01-2025 01:20:51            15.500                  .614
22-01-2025 01:50:51            16.000                  .617

22-01-2025 02:20:51            16.500                  .622


22-01-2025 02:50:51            17.000                  .629
22-01-2025 03:20:51            17.500                  .640

22-01-2025 03:50:51            18.000                  .621
22-01-2025 04:20:51            18.500                  .598
22-01-2025 04:50:51            19.000                  .597

22-01-2025 05:20:51            19.500                  .589
22-01-2025 05:50:51            20.000                  .598

22-01-2025 06:20:51            20.500                  .596
22-01-2025 06:50:51            21.000                  .591
22-01-2025 07:20:51            21.500                  .593

22-01-2025 07:50:51            22.000                  .578
22-01-2025 08:20:51            22.500                  .572

22-01-2025 08:50:51            23.000                  .571
22-01-2025 09:20:51            23.500                  .561
22-01-2025 09:50:51            24.000                  .545

22-01-2025 10:20:51            24.500                  .550
22-01-2025 10:50:51            25.000                  .546
22-01-2025 11:20:51            25.500                  .544

22-01-2025 11:50:51            26.000                  .540
22-01-2025 12:20:51            26.500                  .529

22-01-2025 12:50:51            27.000                  .528
22-01-2025 13:20:51            27.500                  .532
22-01-2025 13:50:51            28.000                  .533

22-01-2025 14:20:51            28.500                  .521
22-01-2025 14:50:51            29.000                  .525

22-01-2025 15:20:51            29.500                  .524
22-01-2025 15:50:51            30.000                  .526
22-01-2025 15:50:59            30.003                  .526

22-01-2025 15:51:14            30.007                  .386
22-01-2025 15:52:14            30.023                  .411

22-01-2025 15:52:29            30.027                  .423
22-01-2025 15:53:14            30.040                  .452
22-01-2025 15:53:29            30.044                  .461

22-01-2025 15:54:14            30.057                  .489
22-01-2025 15:54:29            30.061                  .497
22-01-2025 15:54:44            30.065                  .512

22-01-2025 15:54:59            30.069                  .531
22-01-2025 15:55:14            30.073                  .551

22-01-2025 15:55:29            30.077                  .570
22-01-2025 15:58:44            30.132                  .594
22-01-2025 15:58:59            30.136                  .600

22-01-2025 16:17:44            30.448                  .573
22-01-2025 16:17:59            30.452                  .570

22-01-2025 16:20:51            30.500                  .580
22-01-2025 16:50:51            31.000                  .580
22-01-2025 17:20:51            31.500                  .572

22-01-2025 17:50:51            32.000                  .564
22-01-2025 18:20:51            32.500                  .566

22-01-2025 18:50:51            33.000                  .567
22-01-2025 19:20:51            33.500                  .558
22-01-2025 19:50:51            34.000                  .563

22-01-2025 20:20:51            34.500                  .557

22-01-2025 20:50:51            35.000                  .556
22-01-2025 21:20:51            35.500                  .544

22-01-2025 21:50:51            36.000                  .557
22-01-2025 22:20:51            36.500                  .551
22-01-2025 22:50:51            37.000                  .551

22-01-2025 23:20:51            37.500                  .544
22-01-2025 23:50:51            38.000                  .541

23-01-2025 00:20:51            38.500                  .539
23-01-2025 00:50:51            39.000                  .542
23-01-2025 01:20:51            39.500                  .537

23-01-2025 01:50:51            40.000                  .540
23-01-2025 02:20:52            40.501                  .536

23-01-2025 02:50:52            41.001                  .536
23-01-2025 03:20:52            41.501                  .541
23-01-2025 03:50:52            42.001                  .535

23-01-2025 04:20:52            42.501                  .527
23-01-2025 04:50:52            43.001                  .531
23-01-2025 05:20:52            43.501                  .530

23-01-2025 05:50:52            44.001                  .530
23-01-2025 06:20:53            44.501                  .539

23-01-2025 06:50:53            45.001                  .533
23-01-2025 07:20:53            45.501                  .533
23-01-2025 07:50:53            46.001                  .530

23-01-2025 08:20:53            46.501                  .529
23-01-2025 08:50:53            47.001                  .527

23-01-2025 09:20:53            47.501                  .529
23-01-2025 09:50:53            48.001                  .525
23-01-2025 10:20:53            48.501                  .520

23-01-2025 10:50:53            49.001                  .514
23-01-2025 11:20:53            49.501                  .510

23-01-2025 11:50:53            50.001                  .512
23-01-2025 12:20:53            50.501                  .506
23-01-2025 12:50:53            51.001                  .506

23-01-2025 13:20:53            51.501                  .505
23-01-2025 13:50:53            52.001                  .509
23-01-2025 14:20:53            52.501                  .501

23-01-2025 14:23:55            52.551                  .501
23-01-2025 14:24:10            52.556                  .375

23-01-2025 14:24:56            52.568                  .403
23-01-2025 14:25:11            52.573                  .422
23-01-2025 14:25:41            52.581                  .445

23-01-2025 14:25:56            52.585                  .455
23-01-2025 14:28:11            52.622                  .484

23-01-2025 14:28:26            52.627                  .492
23-01-2025 14:29:11            52.639                  .518
23-01-2025 14:29:26            52.643                  .525

23-01-2025 14:50:53            53.001                  .499
23-01-2025 15:20:53            53.501                  .495

23-01-2025 15:50:53            54.001                  .499
23-01-2025 16:20:53            54.501                  .497
23-01-2025 16:50:53            55.001                  .502

23-01-2025 17:20:53            55.501                  .496

23-01-2025 17:50:53            56.001                  .506
23-01-2025 18:20:53            56.501                  .496

23-01-2025 18:50:53            57.001                  .496
23-01-2025 19:20:53            57.501                  .499
23-01-2025 19:50:53            58.001                  .499

23-01-2025 20:20:53            58.501                  .497
23-01-2025 20:50:53            59.001                  .494

23-01-2025 21:20:53            59.501                  .498
23-01-2025 21:50:53            60.001                  .496
23-01-2025 22:20:53            60.501                  .494

23-01-2025 22:50:53            61.001                  .492
23-01-2025 23:20:53            61.501                  .497

23-01-2025 23:50:53            62.001                  .491
24-01-2025 00:20:53            62.501                  .495
24-01-2025 00:50:53            63.001                  .490

24-01-2025 01:20:53            63.501                  .496
24-01-2025 01:50:53            64.001                  .494
24-01-2025 02:20:53            64.501                  .495

24-01-2025 02:50:53            65.001                  .494
24-01-2025 03:20:53            65.501                  .496

24-01-2025 03:50:53            66.001                  .491
24-01-2025 04:20:53            66.501                  .493
24-01-2025 04:50:53            67.001                  .494

24-01-2025 05:20:53            67.501                  .493
24-01-2025 05:50:53            68.001                  .491

24-01-2025 06:20:53            68.501                  .492
24-01-2025 06:50:53            69.001                  .491
24-01-2025 07:20:53            69.501                  .492

24-01-2025 07:50:53            70.001                  .495
24-01-2025 08:20:53            70.501                  .487

24-01-2025 08:50:53            71.001                  .488
24-01-2025 08:54:28            71.061                  .490
